,,70,,212,,221,,356,,370,,512,,518
65,,71,,211,,222,,355,,371,,511,,
64,,72,,,,,,354,,,,,,529
63,,,,207,,228,,353,,377,,506,,530
,,77,,206,,229,,,,378,,505,,531
61,,78,,205,,230,,347,,379,,504,,
60,,79,,204,,,,346,,,,,,537
,,,,,,236,,345,,383,,498,,538
57,,85,,199,,237,,,,384,,497,,539
56,,86,,198,,238,,341,,385,,496,,
55,,87,,197,,,,340,,,,,,544
54,,,,196,,243,,339,,392,,491,,545
53,,93,,195,,244,,338,,393,,490,,546
49,,94,,,,245,,,,394,,489,,
48,,95,,192,,,,330,,,,,,556
47,,,,191,,254,,329,,402,,480,,557
46,,104,,190,,255,,328,,403,,479,,558
,,105,,189,,256,,327,,404,,478,,
42,,106,,,,,,,,,,477,,568
41,,,,180,,266,,317,,415,,,,569
40,,116,,179,,267,,316,,416,,469,,570
39,,117,,178,,268,,315,,417,,468,,
,,118,,177,,269,,314,,,,467,,576
31,,125,,,,275,,,,423,,466,,577
30,,130,,168,,276,,308,,424,,,,
29,,131,,167,,,,307,,,,459,,582
28,,132,,166,,280,,306,,428,,458,,
,,,,165,,281,,,,429,,,,
18,,,,,,282,,304,,430,,,,
17,,,,160,,283,,303,,,,515,,
16,,,,159,,,,302,,,,,,
15,,,,158,,,,301,,366,,,,
,,,,,,,,,,367,,,,
12,,,,154,,,,366,,368,,,,
11,,,,153,,,,365,,,,,,
10,,,,152,,,,364,,,,,,
,,,,151,,,,363,,,,,,
6,,,,,,,,362,,,,,,
5,,,,,,,,361,,,,,,
4,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
